keys	en
GAME_TITLE	Willow Tapping
PLACEHOLDER	Woops, this text hasn't been set!
TEST_0	oh no i am in a jail
TEST_1	this is bad times for me
TEST_2	oh hey i hear knocking from the next cell. let me get my knock code ui out
TEST_KNOCK_RECEIVED_0	i am a scared are you a scared
TEST_KNOCK_REQUIRES	BOOP
TEST_KNOCK_SUCCESS	i sure did knock that out of the park ha ha
TEST_KNOCK_FAILURE	oh heck i am bad at this
LABEL_QUIT	Quit
LABEL_START	New Game
LABEL_CONTINUE	Continue
LABEL_LETTER_TIMER	Letter Timer
LABEL_WORD_TIMER	Word Timer
INTERVIEWER_GENERIC_ACKNOWLEDGED	I see.
PROLOGUE_00	Mmm...| Damn, my head hurts. Where am I?| ...Looks like a holding cell. How did I end up here?| I've gotta think...| Okay. Last I recall, Willow Thorn and I were coming in to work at the Grim Sages' Office of Geomancy as usual, and our true identities and purpose was still unknown... I think.| We were getting closer to our objective, but still a couple of weeks away at least from getting access to the Ever-Stone Matrix.| Our first hour went fine... and so did the next few. I remember us grabbing lunch...
PROLOGUE_01	Right. It was when we came back from lunch that things went wrong. Willow and I came back to the office, only to meet Jack Dexter, of all people. He recognized me even through my perception charm. I knew he could, but I was truly hoping he'd just leave Willow and I be. Since we were completely surrounded half an hour later, I'm going to assume he decided to rat us out.
PROLOGUE_01_X	Bastard.
PROLOGUE_02	They shouted at us to disarm; to put our wands down and submit to capture. Willow was so nervous, and was about to try to fight her way out of an impossible situation. I only just barely got her to calm down and surrender. I think they knocked me out quickly after my wand was separated from me. I'm bound and gagged now; probably to prevent me from weaving any spells through vocalization. That's smart; I absolutely would be charming my way out of here otherwise.
PROLOGUE_03	I wonder if they know why we're here? Jack Dexter may have recognized me, but last we saw each other was quite a while ago; that was before I joined the Mages of Brittle Hollow. If I'm lucky, they'll give away how much or how little they know about my purpose here when they come to ask me questions. I imagine that will be any minute now, because I'm sure they probably have someone watching me to see when I wake up.
PROLOGUE_04	Ah, sure enough, here comes someone in to my little holding cell to speak to me.
INTERVIEWER_A_00	Well well well... Adelaide Quelby. Your reputation is known to us. We know full well that you're not the type to work with us, and I think the fact that you told us you were someone else entirely when you and Willow Thorn came to join us makes that quite clear. Hmm, is that gag a little too tight? Would you like me to loosen it? ...Hahaha, not a chance, my dear. No, as I said: your reputation is known to us. We'll not be granting you the ability to speak or write.
INTERVIEWER_A_01	Sorry to disappoint you. I'm sure you were counting on using elder languages or true names to escape with or without your focusing wand. And we won't be offering you any thing you could use to draw sigils or glyphs either. Nor will you be making any kinetoglyphs with your hands, which I am sure you are finding to be uncomfortably bound together. No rabbits up your sleeves this time, my dear. But it is a shame that you won't easily be able to answer us like this.
INTERVIEWER_A_02	In fact, that unfortunately only leaves us to getting answers out of you through less efficient forms of communication. But that will have to do for now, at least until we're able to prepare an environment that will be properly protected from any escape attempts you might try, and arrange for an interrogator more suited to your level of abilities to meet you. Until then, I implore you to work with us. My superiors are eager to know all about what you're here for, so much so that I am sure they might be willing to make you offers to accommodate you if you cooperate.
INTERVIEWER_A_03	First things first, for the record, let's have you confirm for me that you are indeed Adelaide Quelby. Tap your hands on the back of that metal chair you're sitting in once for 'yes', and twice for 'no, I'm going to be difficult'.
INTERVIEWER_A_03_NULL_RESPONSE	Come on, we didn't bind you that tightly. Tap once to confirm you are indeed Adelaide Quelby.
INTERVIEWER_A_03_NULL_RESPONSE_TWICE	Tap your chair, Adelaide Quelby. Confirm your identity, and confirm that you are willing to cooperate, or we may have to consider escalation in our next meeting.
INTERVIEWER_A_03_NULL_RESPONSE_THRICE	So be it, Adelaide. If you don't mind, I'm going to continue on and ask the questions I have been told to ask, whether you intend to answer them or not. I encourage you not continue to be so stubborn, as I swear to you that you will be made to regret it, my dear.
INTERVIEWER_A_03_AFFIRMATIVE	Thank you. I know it seems like a strange little formality, but the scribes are very insistent we ask and confirm questions we already know answers to. They do their jobs very well though, so I think it's fair to accommodate the eccentricities they ask of us so everyone's job is a little easier. Thank you, again, for accommodating this eccentricity yourself. As you make my job easier, I'll try to make your stay here easier. Let's continue.
INTERVIEWER_A_03_NEGATIVE	You know, I am generally rather entertained by those possessing a sharp, sarcastic wit. Generally. Unfortunately, I'm not in the mood for such antics. I'm going to interpret your 'no' as a 'yes' any way, because we truly already know who you are - asking you to confirm your name is simply a formality.
